texto,estrela,positivo,categoria,preco,frete,dias_entrega,dias_estimado,atrasou
"",5,1,garden_tools,48.0,15.56,6,38,0
"",3,0,electronics,13.65,50.85,13,32,0
"",4,1,baby,29.9,15.23,23,45,0
Só que deveria ser um pouco mais reforçada,4,1,office_furniture,129.94,19.0,21,44,0
Não recebi o produto,1,0,housewares,9.9,15.1,37,30,1
Não recebi o pedido completo e consta como entregue ,1,0,bed_bath_table,24.9,7.43,10,8,1
"Chegou bem antes do prazo, estou super feliz!",5,1,sports_leisure,649.0,169.12,20,65,0
Exelente produto e a entrega mais rápido que o esperado...,5,1,cool_stuff,249.99,14.05,4,5,0
"Comprei um produto de 1 litro e chegou em de 300 ml. Nao veio a nota fiscal do produto, sem falar que o mesmo chegou em uma embalagem duvidosa.",1,0,health_beauty,99.9,12.2,9,20,0
"Recebi o produto correto, com prazo menor ao informado no ato da compra.",5,1,auto,66.9,13.81,3,15,0
Bom produto. Bom vendedor. recomendo ,5,1,housewares,7.63,15.11,8,21,0
Capa não protege tanto quanto eu pensava.,5,1,telephony,37.99,24.35,22,35,0
Estou esperando o meu produto já tem mais de 10 dias e ainda não chegou na distruidora de Juiz de Fora. ,1,0,health_beauty,325.0,17.02,28,21,1
SITE SUPER SEGURO,5,1,sports_leisure,91.5,12.77,9,29,0
Pinhão não serve na fazer 2008 ,5,1,auto,94.0,21.15,7,17,0
O produto foi entregue dentro do prazo porém um dos produtos veio danificado.,2,0,cool_stuff,48.9,17.92,16,31,0
o produto chegou em perfeito estado e antes da data estabelecida,5,1,drinks,43.0,18.23,13,39,0
"",5,1,home_appliances,18.45,8.82,3,12,0
"chegou antes do que eu esperava e em perfeitas condições.
nota 10",5,1,computers_accessories,149.9,36.37,12,30,0
"",4,1,stationery,139.9,8.23,4,10,0
"Entrega perfeita, produto maravilhoso, estão de parabéns, SUPER INDICO.",5,1,health_beauty,85.9,12.1,8,21,0
"",5,1,baby,64.9,10.55,4,13,0
Pedido entregue 7 dias antes do previsto ,5,1,auto,19.0,17.06,10,17,0
"A única coisa é q eu paguei o frete e não estragaram em minha residência, gostaria de resolver isso reembolso do frete q foi pago dos dois produtos q eu comprei no site de vcs e foi cobrado o frete ",5,1,health_beauty,299.99,13.3,7,15,0
"Produto errado,cor e tamanho errado, péssima qualidade.",1,0,bed_bath_table,160.0,58.91,21,40,0
Comprei 2 lâmpadas e veio só uma,2,0,home_appliances,19.2,15.1,9,22,0
"Tomei 40 capsulas e ainda estou vivo, portanto é um bom produto.",5,1,health_beauty,61.99,37.12,32,30,1
Demora para entrega e também os fretes são muito alto poderia avaliar o cliente pela quantidade de compras,3,0,consoles_games,34.9,16.92,24,22,1
"",5,1,fashion_shoes,29.99,10.96,11,51,0
"Achei o produto muito inferior, pelo preço que paguei esperava algo melhor!",1,0,bed_bath_table,105.6,16.67,22,32,0
"",5,1,furniture_decor,29.9,21.15,11,24,0
"Como sempre, entrega rápida, produto de qualidade, bem embalado e em perfeito estado.",5,1,toys,79.9,7.81,2,17,0
" Pensei que as toalhas fosse mas grossa ela são bem finas
",2,0,bed_bath_table,145.5,34.56,13,26,0
"Produto entregue antes da data, funcionando tudo direitinho! Recomendo!!",5,1,consoles_games,75.0,10.0,9,32,0
Não recebi ainda o produto,2,0,housewares,169.99,34.85,32,30,1
"Relógio lindo, entregue antes do prazo, valeu a pena!",5,1,watches_gifts,1775.0,18.23,6,20,0
"Gostei muito do produto, porém chegou bem atrasado, na vdd no ato da compra dizia 19 dias e depois foi para um mês, se for se basear no um mês chegou adiantado, não veio embalada e estragou toda caixa",4,1,watches_gifts,105.0,19.7,16,36,0
"Efetuei a compra de 3 peças , conforme descrito na nota fiscal, mas ontem recebi apenas 2. Está faltando 1 peça, entrei em contato imediatamente com o site e informei o ocorrido e ainda não respondera",1,0,furniture_decor,35.0,17.97,10,30,0
Já efetuei duas compras na targaryen e não tive problemas.,4,1,watches_gifts,2299.0,24.25,13,25,0
"produto de qualidade, entrega rápida.",5,1,furniture_mattress_and_upholstery,75.0,36.62,5,19,0
Comprei 02 só enviaram 01,3,0,garden_tools,25.0,15.1,8,22,0
O produto veio quebrado e na cor errada aguardo a troca.,1,0,baby,68.9,11.98,7,26,0
"",5,1,computers_accessories,19.9,15.1,9,29,0
"Eu recebi somente os quadros, até o momento. Faltam os lustres, mas ainda está dentro do prazo de entrega.",5,1,furniture_decor,249.9,44.32,5,25,0
nao recebi o produto,1,0,computers_accessories,89.15,17.06,14,38,0
"",4,1,consoles_games,100.0,17.14,21,25,0
"",5,1,stationery,79.9,13.58,4,24,0
"",5,1,telephony,11.99,11.85,9,21,0
"",5,1,bed_bath_table,86.9,16.29,13,19,0
Muito bonita!! Veio igual e chegou muito antes do prazo!! Amei!!,4,1,bed_bath_table,220.0,26.38,10,24,0
"Todos os produtos vieram errados, cor diferente, móvel quebrado e não consigo pós venda nem de loja, nem email, nem telefone.",1,0,housewares,82.9,3.08,8,34,0
Muito lindo meu pendente! Recomendo! ,4,1,garden_tools,59.9,13.44,11,19,0
Foi entregue ante do prazo,5,1,fixed_telephony,10.99,8.72,17,35,0
"TODOS DEVIAM COMPRAR AQUI NO baratheon,AMEI....PARABÉNS!",5,1,housewares,59.9,17.13,10,20,0
"Muito bom super recomendo 
",5,1,health_beauty,69.9,20.94,8,37,0
Esperava maior um pouco,4,1,furniture_decor,89.9,16.39,12,22,0
"",3,0,housewares,44.9,13.71,4,20,0
Otimo produto veio do jeito que imaginei,5,1,bed_bath_table,13.9,10.96,16,37,0
Positivo. Muito seguro comprar.,5,1,bed_bath_table,49.9,16.11,9,23,0
"",5,1,computers_accessories,53.99,8.72,6,14,0
O Produto poderia ser melhor ,3,0,baby,149.9,24.66,5,20,0
"",5,1,cool_stuff,125.0,16.63,15,21,0
"Pedi a devolução, pois o produto veio errado",3,0,health_beauty,110.32,8.03,5,12,0
"Recebi o perfume, mas veio sem o selo da Adipec, não gostei disso .Além do mais, estava mal embalado, o celofane da caixa mal fechado, comprei de uma loja e recebi com nome de outra, não entendi??!!",2,0,perfumery,359.9,20.4,24,20,1
"O produto chegou dentro do prazo, excelente atendimento.Gostei muito.",5,1,sports_leisure,18.0,12.48,13,24,0
"Só a embalagem que não achei mto segura, veio numa caixa frágil, sem proteção em cima do produto e a caixa do Sedex chegou um pouco amassada... obrigada",4,1,computers_accessories,179.9,53.61,8,22,0
"",5,1,health_beauty,27.9,7.46,6,10,0
"esse afiador e uma porcaria ,enganação ,melhor uma pedra para amolar manual ,me ferrei ",1,0,garden_tools,220.0,15.63,10,25,0
Recomendo pelo melhor preço e respeito ao prazo de entrega.,5,1,computers_accessories,269.0,10.08,4,12,0
Foi muito legal...não tive problemas...recomendo ,5,1,watches_gifts,219.0,13.03,15,26,0
"Recebi dentro do prazo,entrega rápida gostei muito ",5,1,bed_bath_table,99.9,21.19,12,24,0
Boas almofadas pelo valor porém falta um pouco mais de enchimento.,3,0,bed_bath_table,39.9,9.26,6,18,0
A gente só compra porque se ilude pensando que está comprando na lannister. Quando descobre que é com parceiros é tarde. Esse negócio de parceiros deve acabar.,1,0,stationery,89.0,17.87,39,30,1
exatamente como vi no site ... gostei,5,1,housewares,159.9,19.42,3,14,0
O produto chegou antes da previsão de entrega.,4,1,office_furniture,78.9,39.48,23,57,0
"",5,1,watches_gifts,145.0,15.76,27,27,0
Gostei chegou antes da data prevista amei!!!!,5,1,garden_tools,49.9,17.6,17,30,0
"",5,1,telephony,298.0,10.83,4,16,0
"As entregas não deveria ser pelos correios ,o correio na deixa na casa da pessoa ,eles deixam na associação. 
 Então pra mim fica muito ruim.",2,0,watches_gifts,68.9,16.92,13,26,0
"Somente recebi o produto (Relógio Casio G-shock Ga-100cm-8adr), outro que esta no mesmo pedido não foi enviado.",1,0,watches_gifts,629.0,31.07,7,28,0
"",5,1,furniture_decor,176.99,53.79,18,26,0
"Fiquei muito satisfeita, produto chegou bem antes do prazo",5,1,perfumery,262.0,14.85,11,22,0
"",4,1,bed_bath_table,89.9,23.43,4,24,0
"",5,1,watches_gifts,178.99,19.13,11,44,0
"",5,1,desconhecida,29.99,7.47,3,8,0
Super recomendo entrega mega rapido. Parabéns,5,1,auto,249.9,16.65,2,11,0
Tudo maravilhoso muito obrigada ,5,1,cool_stuff,99.9,34.46,7,20,0
"",5,1,bed_bath_table,69.9,12.83,5,26,0
"",5,1,sports_leisure,29.99,17.19,13,29,0
produto de ótima qualidade. ,5,1,sports_leisure,39.0,17.92,13,24,0
Produto bem embalado e entregue tudo certo,3,0,garden_tools,49.9,13.37,18,22,0
WEF2R2ER2ERF'23R'3ER,5,1,watches_gifts,669.9,16.19,6,19,0
"",5,1,stationery,43.9,8.29,10,21,0
"Produto entregue bem embalado, dentro do prazo e com acompanhamento da entrega.",5,1,sports_leisure,42.9,16.11,10,35,0
Amei o produto e o processo da entrega .Minha filha amou e ficou surpresa com o prazo pois chegou antes,5,1,cool_stuff,599.9,26.78,14,18,0
"",5,1,housewares,135.0,27.03,10,43,0
Produto chegou antes do prazo,5,1,sports_leisure,36.49,9.27,4,11,0
"",5,1,bed_bath_table,135.0,62.97,15,34,0
"Deveriam não ser tão demorado na entrega do produto e deveriam colocar numa caixinha mais bonitinha por ser folhado a ouro, valorizava mais o produto de vcs, mas não indicaria não.",2,0,fashion_bags_accessories,29.9,15.1,18,21,0
"Recebi antes do prazo previsto, produto perfeito!",5,1,furniture_decor,24.75,12.69,7,21,0
"Não gostei da entrega, pois feito uma única tentativa na residência, o produto voltou para a central dos correios, sendo que poderiam ligar ou mandar e-mail previamente informando o dia exato ",2,0,bed_bath_table,56.99,12.74,21,20,1
"",5,1,watches_gifts,190.83,12.84,5,19,0
"",5,1,bed_bath_table,94.9,20.15,7,24,0
"",5,1,toys,169.0,14.13,5,21,0
Veio apenas uma unidade. Porem na nf vieram as duas descritas. Quando vira a segunda unidade?,3,0,bed_bath_table,40.35,19.47,6,19,0
"",5,1,fashion_bags_accessories,49.9,7.39,2,9,0
"Muito bom chegou bem antes do prazo, produto de ótima qualidade meu filho amou ",5,1,cool_stuff,64.9,38.5,10,25,0
"",5,1,telephony,21.99,11.85,3,24,0
produto entregue no prazo,3,0,electronics,35.99,14.1,23,21,1
"Produto ótimo e a entrega foi rápida, antes do prazo",5,1,watches_gifts,589.99,18.88,7,24,0
produto entregue antes do prazo,5,1,housewares,89.18,9.44,2,16,0
Ainda está no prazo; porém não recebi ,3,0,fashion_bags_accessories,34.9,20.08,10,29,0
"O produto é o esperado, mas quem não tem ótimo senso prático ou conta com colaboração de um técnico, não compre, pois vem todo desmontado com cerca de 300 peças e com detalhes difíceis para montar. ",4,1,garden_tools,1688.0,129.54,15,31,0
"Comprei 2 itens da mesma loja, recebi apenas 1 e foi cobrado 2 fretes",4,1,sports_leisure,89.0,14.37,15,23,0
Olha recebi no prazo certo veio tudo perfeito gostei muito e recomendo está loja sim parabéns e obrigado ,5,1,garden_tools,39.49,12.69,9,19,0
"As compras que fiz no mesmo carrinho foram processaras de forma separada onerando o frete, uma das compras demorou demais para ser enviada e ainda não recebi o produto.",1,0,computers_accessories,110.0,17.21,10,29,0
"",5,1,garden_tools,49.9,20.77,7,19,0
"",2,0,housewares,149.9,15.36,7,26,0
Muito bonito e o que eu esperava ,5,1,stationery,49.99,18.28,14,38,0
"",3,0,furniture_decor,148.0,19.63,15,31,0
"Entrega no prazo, produto correto, mas o relógio não funciona ",3,0,watches_gifts,29.0,18.3,5,17,0
"O produto foi entregue, mas a cor é diferente, é manchado! Parece que jogaram água sanitária. Não é harmônica a cor. ",1,0,bed_bath_table,111.9,27.51,15,36,0
Produto entregue até antes do prazo. Em prefeitas condições. Super recomendo.,5,1,watches_gifts,168.9,20.09,10,15,0
Recebi no prazo certo .Recomendo está loja.,5,1,audio,89.9,24.63,28,31,0
vou continuar comprando aqui.,5,1,food,149.9,38.01,12,36,0
"",1,0,telephony,139.0,12.25,25,20,1
"Comprei 3 unidades de delfetores do Ar-condicionado, só fui recebido 2 unidades. 1 Não fui recebido até agora. liguei ao vendedor 3 vezes e disse que vai mandar, já faz mais de 1 semana,. nada.....",3,0,air_conditioning,190.0,17.66,10,38,0
"Regular porque eu comprei 2 tubos e paguei , em 28/02/2018 quando abrir a embalagem havia apenas 1 tubo. Isso me deixou chateada.",3,0,health_beauty,25.0,12.48,10,23,0
Chegou no prazo estipulado e produto de boa qualidade eu recomendo ,4,1,bed_bath_table,99.0,13.71,8,18,0
Comprei várias coisas na lannister sempre veio antes do prazo...agora testa o remédio se funciona mesmo a expectativa é grande...,5,1,sports_leisure,25.9,15.1,12,32,0
"Muito práticas! Não uso nem sacos plásticos, pois levo os recicláveis limpos em cada lixeira p/ os carrinhos coletores de lixo do condomínio. Comprei tb branca e preta, p/ orgânicos e não recicláveis",5,1,housewares,42.42,19.36,6,21,0
"a chave veio sem pressão , porém veio a chave original",3,0,auto,54.9,11.88,7,16,0
Meu Produto Ainda Não Foi Entregue.,1,0,sports_leisure,35.0,15.23,21,15,1
Tudo certo! Chegou bem antes do prazo e muito bem embalado! Recomendo,5,1,books_technical,188.0,18.57,9,29,0
"",5,1,electronics,198.9,20.3,11,30,0
"",5,1,health_beauty,29.0,7.87,4,14,0
"",4,1,sports_leisure,19.49,12.79,11,20,0
"",3,0,auto,559.0,37.27,34,34,0
"",5,1,small_appliances,69.9,9.24,6,14,0
"",4,1,home_appliances,47.59,18.23,6,23,0
"SÓ HOUVE UM PROBLEMA A TINTA PRETA VAZOU, MELHORAR A EMBALAGEM, COLOCAR ALGUMA COISA PARA NÃO FICAR BALANÇANDO, PERDI BASTANTE A TINTA PRETA. ",2,0,computers_accessories,149.9,13.34,11,21,0
"",5,1,baby,88.83,18.72,9,10,0
"O produto foi produzido a muito tempo atrás, sobrando pouco tempo de validade quando ele foi entregue.",2,0,sports_leisure,23.0,12.93,5,22,0
Entrega na data prevista. Recomendo a loja.,5,1,perfumery,194.65,17.12,10,25,0
Ótimo recomendo ,5,1,luggage_accessories,71.9,13.52,6,20,0
"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",1,0,health_beauty,37.9,15.1,21,24,0
Recebi o produto antes do prazo estipulado. Sempre compro neste site e nunca tive problemas.,5,1,watches_gifts,49.0,7.78,5,13,0
"",2,0,bed_bath_table,70.74,12.84,8,23,0
A mercadoria chegou até antes da data prevista !,3,0,health_beauty,44.5,14.29,5,18,0
"Ótimo produto, entregue antes da data prevista.",5,1,watches_gifts,119.9,13.5,4,23,0
"Chegou antes do prazo, é como anunciado, ótimo produto.",5,1,bed_bath_table,549.1,52.37,9,22,0
"",5,1,small_appliances,69.0,12.82,9,27,0
"AMEI O GORRO, É LINDO E COM ÓTIMO PREÇO. RECOMENDO SEM DÚVIDA!",5,1,fashion_bags_accessories,18.99,18.23,14,26,0
"",4,1,furniture_decor,39.9,8.88,5,12,0
"",4,1,furniture_decor,24.9,16.11,12,24,0
"Fiz o pedido e decidi cancelar em seguida devido aos comentários. Recebi um e-mail da lannister confirmando o cancelamento, porem a empresa continuou com o processo de envio. ",1,0,office_furniture,79.99,17.37,15,20,0
"",5,1,cool_stuff,599.0,23.68,18,18,0
"",5,1,furniture_decor,59.9,13.78,5,17,0
"",5,1,bed_bath_table,29.9,11.74,6,22,0
Perfeito e entregue bem antes do prazo!! Super recomendo,5,1,telephony,19.99,16.05,15,27,0
"",5,1,computers_accessories,19.0,15.1,9,22,0
"Estou mais que impressionado com a rapidez da entrega. Só acho que poderia melhorar na embalagem, as canetas chegaram soltas dentro da caixa, o que pode ser preocupante. ",4,1,health_beauty,1750.0,39.02,12,39,0
"Recebi meu produto tudo certinho e antes do prazo, adorei a empresa está de parabens.
",5,1,housewares,79.98,23.5,3,14,0
"",4,1,baby,64.9,14.2,10,20,0
"",1,0,garden_tools,120.0,26.46,10,25,0
"produto bom , funcionou como esperado",5,1,computers_accessories,101.34,13.73,12,18,0
"Lamento muito, mas eu tinha cancelado um pedido. Errei no computador e fiz o mesmo pedido duas vezes sem querer. Cancelei um, mas não adintou, madaram os dois, é lamentável",1,0,health_beauty,88.0,11.82,9,18,0
"Produto muito inferior ao que é apresentado na foto e descrição,não gostei e fiz a troca.",1,0,bed_bath_table,99.0,17.94,14,26,0
"Enviou capinha errada e ainda por cima a película trincada, não recomendo a ninguém comprar ",1,0,telephony,29.98,12.79,7,21,0
Não recebi o rpoduto,1,0,watches_gifts,87.67,7.64,8,31,0
tudo entregue corretamente,5,1,housewares,54.9,13.44,7,22,0
"",5,1,watches_gifts,81.25,13.01,7,18,0
"",4,1,watches_gifts,119.0,19.8,19,20,0
só não gostei da qualidade do pano da cortinha poderia avisar que é plastico e não pano,2,0,furniture_decor,45.9,12.69,19,28,0
"A capinha veio completamente danificada e rasurada, com os cantos rasgados e toda defeituosa, a película não encaixou corretamente na tela, ficou menor, os dois produtos horríveis. ",1,0,telephony,24.99,18.23,13,43,0
"Recebi o produto e recomendo. comprei 03 relógios e eles atendem minha necessidade, perém um deles veio trincado.",3,0,watches_gifts,208.9,18.71,7,18,0
"Gostei do varal, só achei que ele voltava para posição fechado com mais facilidade, tem que tirar o pino, colocar na posição que gostria e recolocar o pino, mas fora isso, é um bom produto. ",5,1,housewares,299.99,39.22,7,27,0
Demora muito a entregar ,3,0,office_furniture,78.99,33.91,29,29,0
"Eu comprei para chegar na minha casa e não no correio.O problema é os parceiros da baratheon.minha avaliação é ruim, porque os parceiros da baratheon não está cumprindo a entrega no prazo.
",1,0,bed_bath_table,56.99,12.74,81,18,1
Até a data de hoje 15/01/18 não recebi meus produtos. E o atendimento da lannister é horroroso pois só temos acesso a reclamações por meio do site. uma total falta de respeito para com os clientes.,1,0,computers_accessories,197.0,16.14,43,27,1
"",5,1,pet_shop,79.7,11.17,10,24,0
COMPREI 2 CLORETO DE MAGNÉSIO CHEGARAM APENAS 1 UNIDADE.,1,0,desconhecida,122.99,9.06,2,14,0
Produto maravilhoso! Amei,5,1,cool_stuff,139.9,16.74,5,26,0
"",5,1,telephony,27.99,18.23,20,24,0
Recebi o produto de outro modelo. Desatenção por parte do distribuidor :(,2,0,home_appliances,25.0,7.87,15,12,1
bom preço e entrega rápida.,5,1,health_beauty,110.32,8.03,7,10,0
"pena que tem que comprar só uma unidade, somando-se ao frete fica caro.",3,0,home_appliances,29.9,20.8,10,31,0
"",5,1,health_beauty,49.99,7.78,4,12,0
"",5,1,telephony,274.99,15.67,12,18,0
"",5,1,stationery,59.99,17.99,15,29,0
"",5,1,computers_accessories,27.9,12.48,20,28,0
fico aguardando,1,0,food,27.9,15.1,28,21,1
"Esta é minha segunda ou terceira compra pelo stark e estou muito satisfeita, pois a entrega é feita em um prazo muito menor do que o informado e isso me traz muita satisfação!! ",5,1,baby,48.9,9.74,3,18,0
"o produto chegou bem antes do prazo marcado, por isso prefiro sempre as Lojas lannister.",5,1,electronics,60.9,11.15,4,18,0
"",5,1,perfumery,139.0,15.85,10,24,0
"",4,1,baby,203.9,9.54,2,8,0
"",5,1,bed_bath_table,59.9,16.86,27,35,0
"Tive problema no produto, mas já entrei em contato com a loja e ela já está efetuando a troca. ",3,0,auto,125.2,18.98,6,19,0
"Entrega dentro do prazo. 
",5,1,computers_accessories,99.0,12.82,17,28,0
Loja encaminhou o produto correto,4,1,telephony,19.9,18.23,14,29,0
"",4,1,perfumery,419.0,21.47,11,28,0
"O produto foi roubado do veículo dos correios. O vendedor reenviou um novo produto.Ainda não recebi, por isso estou avaliando a atitude da loja em me contactar e apresentar uma solução.",4,1,telephony,104.0,14.9,34,27,1
"Por enquanto, desde que haja uma explicação plausível e o produto seja entregue.",2,0,perfumery,49.9,15.1,23,22,1
"",5,1,telephony,48.99,22.27,15,29,0
"",4,1,desconhecida,195.0,15.54,14,21,0
"",5,1,furniture_decor,38.5,17.92,8,28,0
"",1,0,stationery,49.0,11.85,22,23,0
"",5,1,cool_stuff,70.9,26.82,3,18,0
"",4,1,auto,74.5,19.99,6,33,0
"",4,1,pet_shop,99.9,23.28,22,36,0
"Produto chegou dentro do prazo e correspondeu totalmente a descrição do produto anunciado, funcionou conforme prometido.",5,1,computers_accessories,129.0,37.81,11,21,0
CORREIO TA UMA DROGA,4,1,computers_accessories,180.0,16.01,39,36,1
"",5,1,pet_shop,123.99,15.75,7,40,0
"",5,1,bed_bath_table,138.0,16.99,2,15,0
Não recebi e ninguém me ligou. Falei por msg.e ninguém me respondeu ,1,0,computers_accessories,39.9,25.63,35,28,1
Recomendaria se não tivesse pressa para receber o produto no quesito entrega esta perdendo feio para concorrência uma loja desse porte se enrrolar tanto p fazer uma entrega tem q agilizar essa parte.,2,0,garden_tools,71.4,16.26,36,35,1
"Entrega super rápida. O pagamento foi confirmado no período da noite e logo pela manhã já haviam encaminhado aos correios. Parabéns pela agilidade! Quanto ao produto, é exatamente o que esperava!",5,1,watches_gifts,219.9,14.56,4,23,0
Entrega muito demorada! Serviço pode ser melhorado! ,1,0,bed_bath_table,47.99,15.1,21,23,0
"",5,1,auto,92.96,28.84,15,37,0
Estou satisfeito com a atendimento ... grato ,5,1,sports_leisure,45.9,8.72,8,13,0
Não chega o produto ,1,0,art,99.99,12.03,17,14,1
Entrega antes do previsto,5,1,sports_leisure,92.5,12.78,17,23,0
"Perfeito para iniciantes.
",5,1,toys,39.9,15.1,9,18,0
"",4,1,furniture_decor,47.49,11.73,5,13,0
"",5,1,health_beauty,23.99,14.1,8,29,0
Ótimo produto mais o manual deveria vir em português tb.,4,1,consoles_games,79.9,13.58,17,32,0
Gostei da cortina leve toda d voal. ,4,1,bed_bath_table,69.9,17.74,8,30,0
"Maravilha, estou super contente chegou antes do prazo. De acordo como eu comprei, tudo perfeito. ",5,1,small_appliances,109.9,21.22,13,29,0
Paguei por um produto que estava no anuncio e recebi outro.,1,0,computers_accessories,69.0,11.09,11,17,0
"Boa tarde o produto veio correto, porem a entrega é pessima precisei buscar em outra cidade.
Acho absurdo se comprei pele internet e paguei o frete nao entendi porque nao entregar em minha residencia",1,0,furniture_decor,119.9,13.56,28,51,0
"",5,1,office_furniture,79.99,29.6,30,29,1
"",5,1,auto,117.3,20.64,11,24,0
"",5,1,sports_leisure,59.9,9.34,2,12,0
"A loja eu recomendo, porque já fiz várias compras e nunca tive nenhum problema, nem antes, nem durante e nem depois da compra. Já o produto, ainda não sei... Tenho que usar antes para saber se vale.",3,0,sports_leisure,15.0,13.48,7,16,0
O produto que recebi é diferente do produto anunciado.,1,0,telephony,29.99,22.14,8,31,0
"",4,1,bed_bath_table,82.99,17.83,10,34,0
recebi antes do prezo e fiquei satisfeito,5,1,sports_leisure,49.99,9.34,5,14,0
"O ar que sai da escova não é muito forte igual ao secador, mas ela cumpre bem o seu papel, alisa e seca o cabelo. ",4,1,health_beauty,84.99,9.41,2,19,0
"",5,1,sports_leisure,69.9,16.12,5,19,0
"Produto veio conforme anuncio, entrega dentro do prazo.",5,1,bed_bath_table,59.9,17.85,13,27,0
"",5,1,auto,67.5,7.78,3,14,0
"",5,1,cool_stuff,22.8,12.79,5,20,0
Belo serviço ... Produto chegou inteiro ...5 litros de suco de uva bordô...,5,1,food_drink,99.99,58.78,6,30,0
"",5,1,electronics,19.9,42.38,19,36,0
Cadê a minha torneira?,1,0,housewares,44.9,14.52,37,21,1
"",5,1,sports_leisure,14.9,7.39,4,5,0
"Olá. A entrega chegou rápido, em três dias. Produto muito bom.",3,0,watches_gifts,29.0,7.78,2,14,0
Estou satisfeito com produto adquirido e o tempo de entrega mesmo com a paralisação dos caminhoneiros.,5,1,computers_accessories,40.0,22.85,7,20,0
quando comprei o produto a entrega era de 15 dias uteis ja tem quase trinta ainda naõ recebi,2,0,computers_accessories,135.0,14.7,31,25,1
Recomendo. A entrega ocorreu antes do esperado.,5,1,sports_leisure,204.0,12.93,15,20,0
"Comprei o Kit Shampo, Óleo, Balm E Pente Para Barba Usebarba. Porém, faltou o pente!!!",1,0,health_beauty,139.9,14.73,6,24,0
Falta o livro.acredito q ainda chegará,5,1,health_beauty,399.0,63.07,3,24,0
Ótima qualidade,5,1,bed_bath_table,24.9,18.23,14,28,0
"",5,1,auto,429.9,20.26,8,24,0
Produto entregue antes do prazo.,4,1,fashion_bags_accessories,69.0,7.78,3,14,0
" Bom diameu pedido veio faltando 1 kit de cabideiro,estou mandando imail mais não me responde,como faço? Vão me mandar o que está faltando ou me reembolsar pois na minha nota fiscal veio cobrando os 2",2,0,industry_commerce_and_business,35.0,17.6,9,24,0
Correio não entregou na minha residência tive q ir busca lá correios,2,0,electronics,16.9,42.38,29,34,0
"",5,1,auto,240.0,24.18,31,43,0
Entrega antes do prazo previsto.,5,1,electronics,19.9,15.23,26,54,0
"",5,1,bed_bath_table,109.0,14.37,6,12,0
"Muito bom. Super recomendo, e o produto chegou antes do prazo combinado que é melhor ainda!",5,1,computers_accessories,38.9,17.63,13,31,0
"",5,1,auto,119.9,13.74,1,13,0
"",5,1,desconhecida,78.5,17.85,9,35,0
"Produto muito bom, só esperava que fosse um pouco maior, mas ainda assim gostei. Estiloso, leve e prático. Em relação a demora da entrega acredito que a culpa foi dos Correios e não dá targaryen.",3,0,watches_gifts,145.0,15.76,28,24,1
"Entrega bem antes do prazo, recomendo!",5,1,sports_leisure,69.9,16.12,7,20,0
Produto ótimo e chegou antes do prazo. Recomendo!,5,1,food,149.9,32.08,3,31,0
"O produto chegou com defeito, má qualidade. Uma boia com valor alto que ao encher ficou torta, depois de uns 10 min cheia abriu a costura. Quero devolver, como faço?",1,0,toys,259.9,16.57,14,29,0
"O PRODUTO VEIO COM DEFEITO E NÃO ME DEVOLVEM O DINHEIRO. CANCELEI O PEDIDO, DEPOIS DO RECEIBIMENTO, DENTRO DOS 2 DIAS UTEIS E ATÉ AGORA NÃO FUI ATENDIDO.",1,0,watches_gifts,859.9,14.18,2,9,0
"",1,0,watches_gifts,149.0,14.79,26,20,1
"",1,0,electronics,14.89,22.06,48,27,1
"",4,1,furniture_decor,17.99,14.1,11,19,0
"Bom atendimento, recebi antes do previsto , chegou em perfeitas condições ",4,1,computers_accessories,149.9,20.72,11,28,0
Produto bem embalado . Perfeito,5,1,sports_leisure,85.7,59.61,15,29,0
Trabalho de qualidade entregue no prazo produto em perfeito estado bem embalado recomendo!,5,1,perfumery,155.0,9.28,14,11,1
Apenas a imagem das fotos é muito ruim. O restante é bom.,2,0,telephony,219.0,18.46,20,26,0
Chegou antes do prazo,5,1,consoles_games,114.9,14.97,11,28,0
Comprei o produto chave canivete para Logan. Mas o produto que me enviaram foi a chave comum. Não vou solicitar a troca por o produto vai me atender. Mas faltou a atenção no ato de enviar o produto.,1,0,auto,51.5,14.53,23,73,0
Muito bom vendedor,5,1,garden_tools,105.99,24.12,20,21,0
"",1,0,watches_gifts,109.9,15.52,27,27,0
"",5,1,sports_leisure,60.0,15.17,12,29,0
Produto entregue antes do prazo,4,1,stationery,127.0,18.69,10,18,0
Apenas embalagem aberta..acho q devido transporte,5,1,computers_accessories,21.0,11.85,6,21,0
Chegou antes do prazo e é um ótimo produto!,5,1,bed_bath_table,40.0,16.6,11,28,0
"Pensei que os body's fossem de algodão, mas, é um tecido sintético e a impressão que imaginei ser um silk de qualidade, é uma sublimação. Enfim, tecido ruim. Não deixa a pele respirar. Não recomendo.",1,0,cool_stuff,149.0,19.58,14,36,0
Leve e confortável.,5,1,bed_bath_table,205.0,15.04,6,17,0
Td certo.Produto e prazo de entrega.,5,1,auto,25.3,15.1,11,23,0
"Superou as minhas expectativas, muito boa loja,cumpriu com o combinado,recomendo!",5,1,fashion_bags_accessories,39.9,7.78,11,16,0
Muito bem atendido,5,1,sports_leisure,99.9,17.61,11,25,0
Houve atraso de 6 dias em relação ao informado e não houve atualização da data.,3,0,cool_stuff,125.0,14.22,14,40,0
